occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-1,Stomachs analyzed, ,14,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-2,"Consumer's average weight, g", ,263,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,measurementValue represents the average
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-3,"Consumer's average length,cm", ,30.9,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,measurementValue represents the average
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-4,Number of empty stomachs (fullness score - 0), ,7,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-5,Number of stomachs with middle fullness (fullness score - 1-2), ,7,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020:Stn3:trawl:1-p,IYS:GoA2020:Stn3:trawl:1-p-6,Number of full stomachs (fullness score - 3-4), ,0,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020:Stn3:trawl:1-pr1,IYS:GoA2020:Stn3:trawl:1-pr1-1,Prey proportion in the sample, ,73,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr1,IYS:GoA2020:Stn3:trawl:1-pr1-2,Digestion level I proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr1,IYS:GoA2020:Stn3:trawl:1-pr1-3,Digestion level II proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr1,IYS:GoA2020:Stn3:trawl:1-pr1-4,Digestion level III proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr1,IYS:GoA2020:Stn3:trawl:1-pr1-5,Digestion level IV proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr2,IYS:GoA2020:Stn3:trawl:1-pr2-1,Prey proportion in the sample, ,5,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr2,IYS:GoA2020:Stn3:trawl:1-pr2-2,Digestion level I proportion, ,100,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr2,IYS:GoA2020:Stn3:trawl:1-pr2-3,Digestion level II proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr2,IYS:GoA2020:Stn3:trawl:1-pr2-4,Digestion level III proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr2,IYS:GoA2020:Stn3:trawl:1-pr2-5,Digestion level IV proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr3,IYS:GoA2020:Stn3:trawl:1-pr3-1,Prey proportion in the sample, ,1,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr3,IYS:GoA2020:Stn3:trawl:1-pr3-2,Digestion level I proportion, ,100,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr3,IYS:GoA2020:Stn3:trawl:1-pr3-3,Digestion level II proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr3,IYS:GoA2020:Stn3:trawl:1-pr3-4,Digestion level III proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr3,IYS:GoA2020:Stn3:trawl:1-pr3-5,Digestion level IV proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr4,IYS:GoA2020:Stn3:trawl:1-pr4-1,Prey proportion in the sample, ,4,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr4,IYS:GoA2020:Stn3:trawl:1-pr4-2,Digestion level I proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr4,IYS:GoA2020:Stn3:trawl:1-pr4-3,Digestion level II proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr4,IYS:GoA2020:Stn3:trawl:1-pr4-4,Digestion level III proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr4,IYS:GoA2020:Stn3:trawl:1-pr4-5,Digestion level IV proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr5,IYS:GoA2020:Stn3:trawl:1-pr5-1,Prey proportion in the sample, ,2,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr5,IYS:GoA2020:Stn3:trawl:1-pr5-2,Digestion level I proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr5,IYS:GoA2020:Stn3:trawl:1-pr5-3,Digestion level II proportion, ,50,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr5,IYS:GoA2020:Stn3:trawl:1-pr5-4,Digestion level III proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2020:Stn3:trawl:1-pr5,IYS:GoA2020:Stn3:trawl:1-pr5-5,Digestion level IV proportion, ,0,percentage,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
