resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS:GoA2020:Stn3:trawl:1-p:rr-001,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr1
IYS:GoA2020:Stn3:trawl:1-p:rr-002,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr2
IYS:GoA2020:Stn3:trawl:1-p:rr-003,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr3
IYS:GoA2020:Stn3:trawl:1-p:rr-004,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr4
IYS:GoA2020:Stn3:trawl:1-p:rr-005,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr5
IYS:GoA2020:Stn3:trawl:1-p:rr-006,IYS:GoA2020:Stn3:trawl:1-p,located within,IYS:GoA2020:Stn3:trawl:1-pr6
IYS:GoA2020:Stn3:trawl:2-p:rr-007,IYS:GoA2020:Stn3:trawl:2-p,located within,IYS:GoA2020:Stn3:trawl:2-pr1
IYS:GoA2020:Stn3:trawl:2-p:rr-008,IYS:GoA2020:Stn3:trawl:2-p,located within,IYS:GoA2020:Stn3:trawl:2-pr2
IYS:GoA2020:Stn3:trawl:2-p:rr-009,IYS:GoA2020:Stn3:trawl:2-p,located within,IYS:GoA2020:Stn3:trawl:2-pr3
IYS:GoA2020:Stn3:trawl:2-p:rr-010,IYS:GoA2020:Stn3:trawl:2-p,located within,IYS:GoA2020:Stn3:trawl:2-pr4
IYS:GoA2020:Stn3:trawl:3-p:rr-011,IYS:GoA2020:Stn3:trawl:3-p,located within,IYS:GoA2020:Stn3:trawl:3-pr1
IYS:GoA2020:Stn3:trawl:3-p:rr-012,IYS:GoA2020:Stn3:trawl:3-p,located within,IYS:GoA2020:Stn3:trawl:3-pr2
IYS:GoA2020:Stn3:trawl:3-p:rr-013,IYS:GoA2020:Stn3:trawl:3-p,located within,IYS:GoA2020:Stn3:trawl:3-pr3
IYS:GoA2020:Stn3:trawl:3-p:rr-014,IYS:GoA2020:Stn3:trawl:3-p,located within,IYS:GoA2020:Stn3:trawl:3-pr4
IYS:GoA2020:Stn3:trawl:3-p:rr-015,IYS:GoA2020:Stn3:trawl:3-p,located within,IYS:GoA2020:Stn3:trawl:3-pr5
IYS:GoA2020:Stn3:trawl:10-p:rr-016,IYS:GoA2020:Stn3:trawl:10-p,located within,IYS:GoA2020:Stn3:trawl:10-pr1
IYS:GoA2020:Stn3:trawl:10-p:rr-017,IYS:GoA2020:Stn3:trawl:10-p,located within,IYS:GoA2020:Stn3:trawl:10-pr2
IYS:GoA2020:Stn4:trawl:4-p:rr-018,IYS:GoA2020:Stn4:trawl:4-p,located within,IYS:GoA2020:Stn4:trawl:4-pr1
IYS:GoA2020:Stn4:trawl:5-p:rr-019,IYS:GoA2020:Stn4:trawl:5-p,located within,IYS:GoA2020:Stn4:trawl:5-pr1
IYS:GoA2020:Stn4:trawl:5-p:rr-020,IYS:GoA2020:Stn4:trawl:5-p,located within,IYS:GoA2020:Stn4:trawl:5-pr2
IYS:GoA2020:Stn4:trawl:5-p:rr-021,IYS:GoA2020:Stn4:trawl:5-p,located within,IYS:GoA2020:Stn4:trawl:5-pr3
IYS:GoA2020:Stn4:trawl:5-p:rr-022,IYS:GoA2020:Stn4:trawl:5-p,located within,IYS:GoA2020:Stn4:trawl:5-pr4
IYS:GoA2020:Stn4:trawl:6-p:rr-023,IYS:GoA2020:Stn4:trawl:6-p,located within,IYS:GoA2020:Stn4:trawl:6-pr1
IYS:GoA2020:Stn4:trawl:6-p:rr-024,IYS:GoA2020:Stn4:trawl:6-p,located within,IYS:GoA2020:Stn4:trawl:6-pr2
IYS:GoA2020:Stn4:trawl:7-p:rr-025,IYS:GoA2020:Stn4:trawl:7-p,located within,IYS:GoA2020:Stn4:trawl:7-pr1
IYS:GoA2020:Stn4:trawl:7-p:rr-026,IYS:GoA2020:Stn4:trawl:7-p,located within,IYS:GoA2020:Stn4:trawl:7-pr2
IYS:GoA2020:Stn4:trawl:7-p:rr-027,IYS:GoA2020:Stn4:trawl:7-p,located within,IYS:GoA2020:Stn4:trawl:7-pr3
IYS:GoA2020:Stn5:trawl:8-p:rr-028,IYS:GoA2020:Stn5:trawl:8-p,located within,IYS:GoA2020:Stn5:trawl:8-pr1
IYS:GoA2020:Stn7:trawl:9-p:rr-029,IYS:GoA2020:Stn7:trawl:9-p,located within,IYS:GoA2020:Stn7:trawl:9-pr1
IYS:GoA2020:Stn7:trawl:9-p:rr-030,IYS:GoA2020:Stn7:trawl:9-p,located within,IYS:GoA2020:Stn7:trawl:9-pr2
IYS:GoA2020:Stn7:trawl:9-p:rr-031,IYS:GoA2020:Stn7:trawl:9-p,located within,IYS:GoA2020:Stn7:trawl:9-pr3
IYS:GoA2020:Stn7:trawl:9-p:rr-032,IYS:GoA2020:Stn7:trawl:9-p,located within,IYS:GoA2020:Stn7:trawl:9-pr4
